Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration100  1469  -80  152    40   58%  1435    0% 
   2 Iteration98   1435  -46   90   120   57%  1365    0% 
   3 Iteration99   1385    1  115    40   48%  1435    0% 
   4 Iteration96   1274   93  100    40   58%  1239    0% 
   5 Iteration93   1239   42   42   240   49%  1229    0% 
   6 Iteration95   1211  101  101    40   50%  1239    0% 
   7 Iteration94   1211  101  101    40   50%  1239    0% 
   8 Iteration92   1183   73   73    80   50%  1183    0% 
   9 Iteration91   1160  104  100    40   58%  1126    0% 
  10 Iteration88   1160  104  100    40   58%  1126    0% 
  11 Iteration90   1160  104  100    40   58%  1126    0% 
  12 Iteration86   1126   38   39   280   47%  1132    0% 
  13 Iteration89   1118  102  100    40   53%  1126    0% 
  14 Iteration87   1118  102  100    40   53%  1126    0% 
  15 Iteration97   1062  101  111    40   33%  1239    0% 
  16 Iteration85   1026   74   74    80   50%  1027    0% 
  17 Iteration84    927   74   74    80   50%   926    0% 
  18 Iteration81    827   53   52   160   58%   747    0% 
  19 Iteration83    715  100  105    40   40%   827    0% 
  20 Iteration82    715  100  105    40   40%   827    0% 
  21 Iteration76    664  104  100    40   58%   630    0% 
  22 Iteration68    630   28   27   560   54%   571    0% 
  23 Iteration73    622  102  101    40   53%   630    0% 
  24 Iteration66    607  104  100    40   58%   573    0% 
  25 Iteration78    601  101  101    40   50%   630    0% 
  26 Iteration65    586  102  100    40   55%   573    0% 
  27 Iteration67    586  102  100    40   55%   573    0% 
  28 Iteration79    580  101  102    40   48%   630    0% 
  29 Iteration74    580  101  102    40   48%   630    0% 
  30 Iteration75    580  101  102    40   48%   630    0% 
  31 Iteration64    573   45   46   200   47%   585    0% 
  32 Iteration72    538  100  104    40   43%   630    0% 
  33 Iteration77    538  100  104    40   43%   630    0% 
  34 Iteration70    517  100  105    40   40%   630    0% 
  35 Iteration62    516   59   59   120   51%   499    0% 
  36 Iteration59    493  104  100    40   58%   459    0% 
  37 Iteration80    474  101  109    40   35%   630    0% 
  38 Iteration69    474  101  109    40   35%   630    0% 
  39 Iteration58    472  103  100    40   55%   459    0% 
  40 Iteration57    472  103  100    40   55%   459    0% 
  41 Iteration63    467  100  101    40   48%   516    0% 
  42 Iteration52    459   31   31   440   52%   421    0% 
  43 Iteration55    451  102  101    40   53%   459    0% 
  44 Iteration61    430  101  101    40   50%   459    0% 
  45 Iteration56    430  101  101    40   50%   459    0% 
  46 Iteration71    429  102  114    40   30%   630    0% 
  47 Iteration60    388  100  103    40   45%   459    0% 
  48 Iteration53    367  100  104    40   43%   459    0% 
  49 Iteration49    334   53   53   160   53%   290    0% 
  50 Iteration50    326  101  100    40   53%   334    0% 
  51 Iteration54    281  101  111    40   33%   459    0% 
  52 Iteration51    264  100  102    40   45%   334    0% 
  53 Iteration47    146  104  100    40   58%   112    0% 
  54 Iteration46    146  104  100    40   58%   112    0% 
  55 Iteration43    125  103  100    40   55%   112    0% 
  56 Iteration40    112   33   33   400   49%    96    0% 
  57 Iteration41     62  101  102    40   48%   112    0% 
  58 Iteration45     62  101  102    40   48%   112    0% 
  59 Iteration48     62  101  102    40   48%   112    0% 
  60 Iteration44     41  100  103    40   45%   112    0% 
  61 Iteration42     41  100  103    40   45%   112    0% 
  62 Iteration38    -60   61   61   120   48%   -46    0% 
  63 Iteration39    -67  101  100    40   53%   -60    0% 
  64 Iteration36   -182   60   60   120   48%  -177    0% 
  65 Iteration37   -190  101  100    40   53%  -182    0% 
  66 Iteration35   -281   78   76    80   55%  -329    0% 
  67 Iteration29   -441  104  100    40   58%  -475    0% 
  68 Iteration33   -441  104  100    40   58%  -475    0% 
  69 Iteration30   -441  104  100    40   58%  -475    0% 
  70 Iteration26   -475   33   33   400   49%  -489    0% 
  71 Iteration34   -483  102  101    40   53%  -475    0% 
  72 Iteration31   -504  101  101    40   50%  -475    0% 
  73 Iteration32   -525  101  102    40   48%  -475    0% 
  74 Iteration27   -546  100  103    40   45%  -475    0% 
  75 Iteration25   -554   74   74    80   53%  -575    0% 
  76 Iteration24   -674   73   74    80   48%  -653    0% 
  77 Iteration28   -676  102  114    40   30%  -475    0% 
  78 Iteration23   -718  103   99    40   58%  -752    0% 
  79 Iteration22   -752   59   59   120   48%  -741    0% 
  80 Iteration21   -830   72   73    80   49%  -819    0% 
  81 Iteration20   -885   77   75    80   58%  -953    0% 
  82 Iteration18  -1077   61   61   120   48% -1069    0% 
  83 Iteration15  -1133   53   51   160   59% -1223    0% 
  84 Iteration19  -1188   99  104    40   40% -1077    0% 
  85 Iteration14  -1246  104   98    40   58% -1281    0% 
  86 Iteration16  -1267  100   96    40   38% -1133    0% 
  87 Iteration17  -1267  100   96    40   38% -1133    0% 
  88 Iteration13  -1267  103   93    40   55% -1281    0% 
  89 Iteration11  -1281   46   46   200   46% -1263    0% 
  90 Iteration12  -1309  102   70    40   50% -1281    0% 
  91 Iteration10  -1359   79   27    80   54% -1392    0% 
  92 Iteration5   -1504  131 -115   240   56% -1572    0% 
  93 Iteration9   -1554  217 -165    40   48% -1504    0% 
  94 Iteration7   -1575  233 -186    40   45% -1504    0% 
  95 Iteration4   -1627  263 -238    80   50% -1627    0% 
  96 Iteration8   -1660  306 -271    40   35% -1504    0% 
  97 Iteration6   -1660  306 -271    40   35% -1504    0% 
  98 Iteration2   -1749  373 -360   120   48% -1744    0% 
  99 Iteration3   -1778  422 -388    40   50% -1749    0% 
 100 Iteration1   -1827  457 -438    80   55% -1869    0% 
 101 Iteration0   -1989  622 -600    40   28% -1827    0% 
