Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration96   1514 -125  141   200   67%  1346    0% 
   2 Iteration97   1465  -76  153    40   48%  1514    0% 
   3 Iteration100  1423  -35  132    40   43%  1514    0% 
   4 Iteration99   1337   47  115    40   33%  1514    0% 
   5 Iteration89   1317   38   37   320   59%  1222    0% 
   6 Iteration91   1288   84  102    40   50%  1317    0% 
   7 Iteration84   1205  102  100    40   55%  1192    0% 
   8 Iteration94   1204  100  105    40   40%  1317    0% 
   9 Iteration83   1192   39   39   280   53%  1147    0% 
  10 Iteration98   1191  111  140    40   18%  1514    0% 
  11 Iteration86   1184  102  100    40   53%  1192    0% 
  12 Iteration90   1183  100  107    40   38%  1317    0% 
  13 Iteration87   1163  101  101    40   50%  1192    0% 
  14 Iteration93   1161  100  109    40   35%  1317    0% 
  15 Iteration88   1142  100  102    40   48%  1192    0% 
  16 Iteration95   1139  101  111    40   33%  1317    0% 
  17 Iteration92   1094  103  118    40   28%  1317    0% 
  18 Iteration85   1079  100  105    40   40%  1192    0% 
  19 Iteration77    940   39   39   280   50%   921    0% 
  20 Iteration80    912  101  101    40   50%   940    0% 
  21 Iteration79    912  101  101    40   50%   940    0% 
  22 Iteration82    891  100  102    40   48%   940    0% 
  23 Iteration72    883   43   42   240   58%   796    0% 
  24 Iteration74    833  100  102    40   48%   883    0% 
  25 Iteration81    828  100  105    40   40%   940    0% 
  26 Iteration78    828  100  105    40   40%   940    0% 
  27 Iteration70    826   60   59   120   53%   788    0% 
  28 Iteration75    812  100  103    40   45%   883    0% 
  29 Iteration68    781  104  100    40   58%   747    0% 
  30 Iteration63    781  104  100    40   58%   747    0% 
  31 Iteration62    781  104  100    40   58%   747    0% 
  32 Iteration61    781  104  100    40   58%   747    0% 
  33 Iteration60    760  103  100    40   55%   747    0% 
  34 Iteration57    747   27   27   560   50%   721    0% 
  35 Iteration67    739  102  101    40   53%   747    0% 
  36 Iteration71    735   99  103    40   43%   826    0% 
  37 Iteration66    718  101  101    40   50%   747    0% 
  38 Iteration65    718  101  101    40   50%   747    0% 
  39 Iteration64    718  101  101    40   50%   747    0% 
  40 Iteration73    706  101  111    40   33%   883    0% 
  41 Iteration59    697  101  102    40   48%   747    0% 
  42 Iteration69    676  100  103    40   45%   747    0% 
  43 Iteration76    660  103  117    40   28%   883    0% 
  44 Iteration54    599   54   53   160   58%   519    0% 
  45 Iteration56    549  100  101    40   48%   599    0% 
  46 Iteration58    523  103  118    40   28%   747    0% 
  47 Iteration52    485  104  100    40   58%   451    0% 
  48 Iteration51    485  104  100    40   58%   451    0% 
  49 Iteration49    451   42   42   240   50%   436    0% 
  50 Iteration50    360  100  104    40   43%   451    0% 
  51 Iteration53    360  100  104    40   43%   451    0% 
  52 Iteration48    340  102  100    40   55%   327    0% 
  53 Iteration47    340  102  100    40   55%   327    0% 
  54 Iteration55    329  106  126    40   23%   599    0% 
  55 Iteration46    327   51   52   160   46%   351    0% 
  56 Iteration45    271   74   73    80   53%   249    0% 
  57 Iteration44    205  103  100    40   58%   171    0% 
  58 Iteration42    171   54   53   160   57%    94    0% 
  59 Iteration40    -48   62   62   120   49%   -46    0% 
  60 Iteration43    -50  103  117    40   28%   171    0% 
  61 Iteration39   -148   73   74    80   49%  -137    0% 
  62 Iteration41   -160   99  105    40   40%   -48    0% 
  63 Iteration37   -225   59   59   120   50%  -236    0% 
  64 Iteration38   -233  101  100    40   53%  -225    0% 
  65 Iteration31   -326   40   39   280   60%  -436    0% 
  66 Iteration32   -397  100  103    40   45%  -326    0% 
  67 Iteration33   -418  100  104    40   43%  -326    0% 
  68 Iteration35   -439  100  105    40   40%  -326    0% 
  69 Iteration30   -472   74   75    80   45%  -427    0% 
  70 Iteration29   -494  103   99    40   58%  -528    0% 
  71 Iteration36   -526  102  114    40   30%  -326    0% 
  72 Iteration28   -528   60   60   120   51%  -546    0% 
  73 Iteration34   -573  104  122    40   25%  -326    0% 
  74 Iteration26   -673   60   60   120   49%  -674    0% 
  75 Iteration27   -723  100  101    40   48%  -673    0% 
  76 Iteration25   -773   73   74    80   49%  -762    0% 
  77 Iteration23   -850   61   60   120   54%  -898    0% 
  78 Iteration24   -900  100  101    40   48%  -850    0% 
  79 Iteration20  -1007  102  100    40   55% -1021    0% 
  80 Iteration19  -1021   47   47   200   50% -1037    0% 
  81 Iteration22  -1070  100  102    40   48% -1021    0% 
  82 Iteration21  -1070  100  102    40   48% -1021    0% 
  83 Iteration18  -1189   75   76    80   45% -1144    0% 
  84 Iteration17  -1254  102   96    40   55% -1267    0% 
  85 Iteration16  -1267   59   59   120   50% -1277    0% 
  86 Iteration15  -1389   84   -1    80   46% -1356    0% 
  87 Iteration12  -1445   89  -56   160   55% -1502    0% 
  88 Iteration14  -1473  157  -85    40   50% -1445    0% 
  89 Iteration10  -1568  199 -179   120   51% -1583    0% 
  90 Iteration13  -1578  234 -189    40   38% -1445    0% 
  91 Iteration11  -1638  289 -249    40   45% -1568    0% 
  92 Iteration9   -1668  303 -278    80   56% -1726    0% 
  93 Iteration7   -1884  507 -495   120   47% -1862    0% 
  94 Iteration8   -1913  554 -524    40   50% -1884    0% 
  95 Iteration6   -2006  634 -617    80   54% -2041    0% 
  96 Iteration5   -2164  808 -775    40   58% -2198    0% 
  97 Iteration4   -2198  819 -808   120   47% -2178    0% 
  98 Iteration3   -2365  991 -976    80   48% -2343    0% 
