Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration99   1454  -66  144    40   58%  1420    0% 
   2 Iteration100  1433  -45  133    40   55%  1420    0% 
   3 Iteration97   1420  -31   72   160   50%  1404    0% 
   4 Iteration98   1412  -25  124    40   53%  1420    0% 
   5 Iteration95   1352   33  106    40   58%  1318    0% 
   6 Iteration96   1331   52  103    40   55%  1318    0% 
   7 Iteration87   1318   31   31   440   51%  1287    0% 
   8 Iteration92   1310   70  102    40   53%  1318    0% 
   9 Iteration90   1310   70  102    40   53%  1318    0% 
  10 Iteration93   1310   70  102    40   53%  1318    0% 
  11 Iteration94   1289   84  102    40   50%  1318    0% 
  12 Iteration88   1268   93  102    40   48%  1318    0% 
  13 Iteration85   1216   61   60   120   55%  1165    0% 
  14 Iteration91   1205  100  105    40   40%  1318    0% 
  15 Iteration89   1140  101  111    40   33%  1318    0% 
  16 Iteration81   1115   46   46   200   52%  1086    0% 
  17 Iteration76   1092  104  100    40   58%  1058    0% 
  18 Iteration75   1092  104  100    40   58%  1058    0% 
  19 Iteration80   1071  103  100    40   55%  1058    0% 
  20 Iteration84   1066  100  102    40   48%  1115    0% 
  21 Iteration86   1062  100  108    40   35%  1216    0% 
  22 Iteration74   1058   36   36   320   51%  1025    0% 
  23 Iteration82   1045  100  102    40   45%  1115    0% 
  24 Iteration83   1045  100  102    40   45%  1115    0% 
  25 Iteration77   1008  101  102    40   48%  1058    0% 
  26 Iteration79    987  100  103    40   45%  1058    0% 
  27 Iteration78    966  100  104    40   43%  1058    0% 
  28 Iteration73    864   76   78    80   45%   911    0% 
  29 Iteration72    799  103  100    40   58%   765    0% 
  30 Iteration70    765   51   51   160   46%   782    0% 
  31 Iteration71    757  101  100    40   53%   765    0% 
  32 Iteration67    708   54   52   160   63%   586    0% 
  33 Iteration62    606   42   42   240   55%   542    0% 
  34 Iteration66    578  101  101    40   50%   606    0% 
  35 Iteration60    549   60   59   120   56%   490    0% 
  36 Iteration69    509  101  114    40   30%   708    0% 
  37 Iteration64    493  100  105    40   40%   606    0% 
  38 Iteration65    472  100  107    40   38%   606    0% 
  39 Iteration68    463  104  121    40   25%   708    0% 
  40 Iteration61    459   99  103    40   43%   549    0% 
  41 Iteration63    451  100  109    40   35%   606    0% 
  42 Iteration59    405   76   76    80   50%   405    0% 
  43 Iteration53    294  104  100    40   58%   260    0% 
  44 Iteration55    273  103  100    40   55%   260    0% 
  45 Iteration52    260   37   37   320   53%   208    0% 
  46 Iteration54    252  102  100    40   53%   260    0% 
  47 Iteration58    168  100  104    40   43%   260    0% 
  48 Iteration48    112   48   47   200   55%    50    0% 
  49 Iteration57    104  100  109    40   35%   260    0% 
  50 Iteration50     83  101  101    40   50%   112    0% 
  51 Iteration49     83  101  101    40   50%   112    0% 
  52 Iteration56     59  102  114    40   30%   260    0% 
  53 Iteration51    -66  101  111    40   33%   112    0% 
  54 Iteration44    -77  104  100    40   58%  -112    0% 
  55 Iteration39    -98  103  100    40   55%  -112    0% 
  56 Iteration38   -112   31   31   440   52%  -153    0% 
  57 Iteration42   -140  101  101    40   50%  -112    0% 
  58 Iteration45   -161  101  102    40   48%  -112    0% 
  59 Iteration43   -161  101  102    40   48%  -112    0% 
  60 Iteration46   -182  100  103    40   45%  -112    0% 
  61 Iteration40   -182  100  103    40   45%  -112    0% 
  62 Iteration37   -212   78   76    80   55%  -258    0% 
  63 Iteration47   -246  100  107    40   38%  -112    0% 
  64 Iteration41   -335  103  118    40   28%  -112    0% 
  65 Iteration35   -404   60   61   120   45%  -368    0% 
  66 Iteration36   -432  101  100    40   50%  -404    0% 
  67 Iteration34   -459   77   75    80   58%  -528    0% 
  68 Iteration28   -619  104  100    40   58%  -653    0% 
  69 Iteration32   -640  103  100    40   55%  -653    0% 
  70 Iteration31   -640  103  100    40   55%  -653    0% 
  71 Iteration27   -653   36   36   320   48%  -660    0% 
  72 Iteration33   -724  100  103    40   45%  -653    0% 
  73 Iteration30   -724  100  103    40   45%  -653    0% 
  74 Iteration26   -731   74   73    80   51%  -741    0% 
  75 Iteration29   -745  100  104    40   43%  -653    0% 
  76 Iteration25   -830   75   75    80   53%  -853    0% 
  77 Iteration22   -941  104  100    40   58%  -975    0% 
  78 Iteration23   -962  102  100    40   55%  -975    0% 
  79 Iteration21   -975   46   46   200   48%  -971    0% 
  80 Iteration16  -1055   42   42   240   54% -1106    0% 
  81 Iteration17  -1062  102  100    40   53% -1055    0% 
  82 Iteration24  -1067  100  104    40   43%  -975    0% 
  83 Iteration20  -1083  101  101    40   50% -1055    0% 
  84 Iteration19  -1125  100  103    40   45% -1055    0% 
  85 Iteration18  -1189  100  107    40   38% -1055    0% 
  86 Iteration15  -1200   74   75    80   45% -1155    0% 
  87 Iteration14  -1243  102   98    40   55% -1256    0% 
  88 Iteration12  -1243  102   98    40   55% -1256    0% 
  89 Iteration11  -1256   46   46   200   50% -1276    0% 
  90 Iteration13  -1264  102   94    40   53% -1256    0% 
  91 Iteration7   -1428   72  -39   200   51% -1452    0% 
  92 Iteration9   -1457  147  -69    40   50% -1428    0% 
