Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration98   1048  104  100    40   58%  1014    0% 
   2 Iteration84   1048  104  100    40   58%  1014    0% 
   3 Iteration86   1048  104  100    40   58%  1014    0% 
   4 Iteration96   1027  103  100    40   55%  1014    0% 
   5 Iteration76   1014   21   21  1000   57%   927    0% 
   6 Iteration100  1006  102  101    40   53%  1014    0% 
   7 Iteration97   1006  102  101    40   53%  1014    0% 
   8 Iteration87   1006  102  101    40   53%  1014    0% 
   9 Iteration88   1006  102  101    40   53%  1014    0% 
  10 Iteration90    985  101  101    40   50%  1014    0% 
  11 Iteration92    985  101  101    40   50%  1014    0% 
  12 Iteration93    943  100  103    40   45%  1014    0% 
  13 Iteration78    943  100  103    40   45%  1014    0% 
  14 Iteration66    911   31   31   440   56%   837    0% 
  15 Iteration74    903  102  101    40   53%   911    0% 
  16 Iteration85    900  100  105    40   40%  1014    0% 
  17 Iteration95    900  100  105    40   40%  1014    0% 
  18 Iteration77    900  100  105    40   40%  1014    0% 
  19 Iteration79    900  100  105    40   40%  1014    0% 
  20 Iteration73    882  101  101    40   50%   911    0% 
  21 Iteration75    882  101  101    40   50%   911    0% 
  22 Iteration68    882  101  101    40   50%   911    0% 
  23 Iteration82    879  100  107    40   38%  1014    0% 
  24 Iteration81    857  101  109    40   35%  1014    0% 
  25 Iteration89    857  101  109    40   35%  1014    0% 
  26 Iteration91    857  101  109    40   35%  1014    0% 
  27 Iteration63    853   52   51   160   56%   786    0% 
  28 Iteration70    819  100  104    40   43%   911    0% 
  29 Iteration69    819  100  104    40   43%   911    0% 
  30 Iteration71    819  100  104    40   43%   911    0% 
  31 Iteration94    813  102  115    40   30%  1014    0% 
  32 Iteration99    813  102  115    40   30%  1014    0% 
  33 Iteration80    790  103  118    40   28%  1014    0% 
  34 Iteration67    776  100  107    40   38%   911    0% 
  35 Iteration62    765  102  100    40   55%   752    0% 
  36 Iteration65    762  100  103    40   43%   853    0% 
  37 Iteration59    752   46   46   200   52%   717    0% 
  38 Iteration83    741  107  128    40   23%  1014    0% 
  39 Iteration60    723  101  101    40   50%   752    0% 
  40 Iteration64    720  100  106    40   38%   853    0% 
  41 Iteration61    640  100  105    40   40%   752    0% 
  42 Iteration57    606   63   62   120   57%   539    0% 
  43 Iteration72    556  116  151    40   15%   911    0% 
  44 Iteration56    540  102  100    40   55%   527    0% 
  45 Iteration53    527   48   47   200   56%   452    0% 
  46 Iteration55    457  100  102    40   45%   527    0% 
  47 Iteration54    436  100  104    40   43%   527    0% 
  48 Iteration58    337  106  126    40   23%   606    0% 
  49 Iteration52    254  103   99    40   58%   220    0% 
  50 Iteration51    220   63   64   120   39%   315    0% 
  51 Iteration47    164   47   46   200   61%    57    0% 
  52 Iteration50     30  100  107    40   38%   164    0% 
  53 Iteration48     30  100  107    40   38%   164    0% 
  54 Iteration46     18   75   76    80   48%    41    0% 
  55 Iteration49    -14  101  111    40   33%   164    0% 
  56 Iteration44    -81   59   59   120   48%   -76    0% 
  57 Iteration45    -89  101  100    40   53%   -81    0% 
  58 Iteration43   -158   81   79    80   60%  -257    0% 
  59 Iteration41   -398  104  100    40   58%  -432    0% 
  60 Iteration39   -419  103  100    40   55%  -432    0% 
  61 Iteration36   -432   37   37   320   49%  -446    0% 
  62 Iteration40   -440  102  100    40   53%  -432    0% 
  63 Iteration37   -461  101  101    40   50%  -432    0% 
  64 Iteration42   -503  100  103    40   45%  -432    0% 
  65 Iteration34   -567  102  100    40   55%  -580    0% 
  66 Iteration33   -580   53   52   160   53%  -615    0% 
  67 Iteration38   -610  101  111    40   33%  -432    0% 
  68 Iteration31   -681   62   61   120   58%  -754    0% 
  69 Iteration28   -770  104  100    40   58%  -805    0% 
  70 Iteration30   -770  104  100    40   58%  -805    0% 
  71 Iteration35   -779  101  114    40   30%  -580    0% 
  72 Iteration25   -791  103  100    40   55%  -805    0% 
  73 Iteration21   -805   31   31   440   51%  -840    0% 
  74 Iteration23   -833  101  101    40   50%  -805    0% 
  75 Iteration22   -854  101  102    40   48%  -805    0% 
  76 Iteration26   -854  101  102    40   48%  -805    0% 
  77 Iteration32   -879  101  113    40   30%  -681    0% 
  78 Iteration20   -896  104  100    40   58%  -930    0% 
  79 Iteration29   -897  100  104    40   43%  -805    0% 
  80 Iteration18   -917  102  100    40   55%  -930    0% 
  81 Iteration27   -918  100  105    40   40%  -805    0% 
  82 Iteration17   -930   47   46   200   50%  -948    0% 
  83 Iteration24   -939  100  107    40   38%  -805    0% 
  84 Iteration19  -1021  100  104    40   43%  -930    0% 
  85 Iteration16  -1068  104  100    40   58% -1102    0% 
  86 Iteration14  -1068  104  100    40   58% -1102    0% 
  87 Iteration11  -1068  104  100    40   58% -1102    0% 
  88 Iteration9   -1102   34   34   360   48% -1109    0% 
  89 Iteration15  -1131  101  101    40   50% -1102    0% 
  90 Iteration13  -1131  101  101    40   50% -1102    0% 
  91 Iteration12  -1152  100  102    40   48% -1102    0% 
  92 Iteration8   -1159   73   73    80   50% -1159    0% 
  93 Iteration5   -1215   51   51   160   54% -1261    0% 
  94 Iteration6   -1223  101  100    40   53% -1215    0% 
  95 Iteration4   -1271   73   72    80   50% -1271    0% 
  96 Iteration10  -1280  102   92    40   33% -1102    0% 
  97 Iteration2   -1328   59   51   120   51% -1345    0% 
  98 Iteration3   -1335  105   49    40   53% -1328    0% 
  99 Iteration7   -1392  117   -5    40   33% -1215    0% 
 100 Iteration1   -1427  110  -39    80   60% -1522    0% 
 101 Iteration0   -1716  357 -327    40   15% -1427    0% 
