Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration100  1789 -400  427    40   68%  1670    0% 
   2 Iteration98   1670 -281  295   120   60%  1572    0% 
   3 Iteration97   1478  -89  137    80   43%  1546    0% 
   4 Iteration99   1449  -61  162    40   28%  1670    0% 
   5 Iteration94   1422  -33   74   160   54%  1368    0% 
   6 Iteration95   1393   -6  117    40   50%  1422    0% 
   7 Iteration96   1352   34  108    40   45%  1422    0% 
   8 Iteration89   1284   87  101    40   58%  1250    0% 
   9 Iteration92   1284   87  101    40   58%  1250    0% 
  10 Iteration90   1263   96  100    40   55%  1250    0% 
  11 Iteration91   1263   96  100    40   55%  1250    0% 
  12 Iteration93   1263   96  100    40   55%  1250    0% 
  13 Iteration85   1250   32   32   400   48%  1242    0% 
  14 Iteration88   1179  100  103    40   45%  1250    0% 
  15 Iteration87   1158  100  104    40   43%  1250    0% 
  16 Iteration86   1158  100  104    40   43%  1250    0% 
  17 Iteration84   1149   74   74    80   50%  1150    0% 
  18 Iteration81   1049   52   51   160   56%   988    0% 
  19 Iteration77    992   45   45   200   50%   975    0% 
  20 Iteration79    984  102  100    40   53%   992    0% 
  21 Iteration80    964  101  101    40   50%   992    0% 
  22 Iteration78    943  100  102    40   48%   992    0% 
  23 Iteration76    936   74   73    80   53%   915    0% 
  24 Iteration82    916  100  106    40   38%  1049    0% 
  25 Iteration83    894  100  108    40   35%  1049    0% 
  26 Iteration75    837   74   74    80   50%   836    0% 
  27 Iteration70    737   42   42   240   55%   674    0% 
  28 Iteration68    693  102  100    40   55%   680    0% 
  29 Iteration69    693  102  100    40   55%   680    0% 
  30 Iteration74    687  100  102    40   48%   737    0% 
  31 Iteration72    687  100  102    40   48%   737    0% 
  32 Iteration71    687  100  102    40   48%   737    0% 
  33 Iteration67    680   51   51   160   48%   681    0% 
  34 Iteration59    601   35   35   360   56%   521    0% 
  35 Iteration66    593  102  101    40   53%   601    0% 
  36 Iteration65    593  102  101    40   53%   601    0% 
  37 Iteration64    593  102  101    40   53%   601    0% 
  38 Iteration60    572  101  101    40   50%   601    0% 
  39 Iteration62    530  100  103    40   45%   601    0% 
  40 Iteration73    466  106  127    40   23%   737    0% 
