Rank Name           Elo    +    - games score oppo. draws 
  41 Iteration63    423  101  111    40   33%   601    0% 
  42 Iteration58    355   77   80    80   40%   450    0% 
  43 Iteration61    354  104  122    40   25%   601    0% 
  44 Iteration57    333  103   99    40   58%   299    0% 
  45 Iteration56    299   59   59   120   48%   303    0% 
  46 Iteration55    233  103  100    40   55%   220    0% 
  47 Iteration50    220   39   39   280   55%   156    0% 
  48 Iteration52    170  100  102    40   48%   220    0% 
  49 Iteration53    170  100  102    40   48%   220    0% 
  50 Iteration51    128  100  104    40   43%   220    0% 
  51 Iteration47     73   53   52   160   54%    27    0% 
  52 Iteration49     23  100  101    40   48%    73    0% 
  53 Iteration54     20  102  114    40   30%   220    0% 
  54 Iteration46    -17  104  100    40   58%   -51    0% 
  55 Iteration43    -51   46   46   200   53%   -89    0% 
  56 Iteration48    -82  100  108    40   35%    73    0% 
  57 Iteration40   -130   55   53   160   61%  -246    0% 
  58 Iteration41   -180  100  101    40   48%  -130    0% 
  59 Iteration44   -185  100  107    40   38%   -51    0% 
  60 Iteration45   -185  100  107    40   38%   -51    0% 
  61 Iteration42   -375  104  121    40   25%  -130    0% 
  62 Iteration38   -376   62   62   120   47%  -350    0% 
  63 Iteration37   -454   73   73    80   49%  -443    0% 
  64 Iteration39   -467   99  103    40   43%  -376    0% 
  65 Iteration34   -510   51   51   160   53%  -545    0% 
  66 Iteration36   -518  101  100    40   53%  -510    0% 
  67 Iteration32   -567   59   59   120   51%  -583    0% 
  68 Iteration33   -595  101  101    40   50%  -567    0% 
  69 Iteration29   -611  104  100    40   58%  -645    0% 
  70 Iteration35   -644  100  106    40   38%  -510    0% 
  71 Iteration26   -645   40   39   280   59%  -740    0% 
  72 Iteration25   -724   73   73    80   50%  -723    0% 
  73 Iteration27   -737  100  104    40   43%  -645    0% 
  74 Iteration31   -758  100  105    40   40%  -645    0% 
  75 Iteration24   -801   73   73    80   49%  -790    0% 
  76 Iteration18   -857   39   39   280   55%  -924    0% 
  77 Iteration22   -865  102  100    40   53%  -857    0% 
  78 Iteration30   -892  104  122    40   25%  -645    0% 
  79 Iteration28   -892  104  122    40   25%  -645    0% 
  80 Iteration20   -907  100  102    40   48%  -857    0% 
  81 Iteration19   -928  100  103    40   45%  -857    0% 
  82 Iteration21   -949  100  104    40   43%  -857    0% 
  83 Iteration23   -970  100  105    40   40%  -857    0% 
  84 Iteration17  -1051   79   79    80   49% -1038    0% 
  85 Iteration15  -1218   60   60   120   47% -1198    0% 
  86 Iteration16  -1267  100   94    40   48% -1218    0% 
  87 Iteration11  -1275   46   46   200   56% -1343    0% 
  88 Iteration10  -1298  105   78    40   58% -1332    0% 
  89 Iteration12  -1304  102   74    40   50% -1275    0% 
  90 Iteration6   -1319  105   62    40   55% -1332    0% 
  91 Iteration5   -1332   39   38   280   53% -1381    0% 
  92 Iteration9   -1361  109   25    40   50% -1332    0% 
  93 Iteration13  -1409  122  -22    40   38% -1275    0% 
  94 Iteration7   -1445  139  -57    40   40% -1332    0% 
  95 Iteration14  -1452  143  -64    40   33% -1275    0% 
  96 Iteration8   -1467  151  -78    40   38% -1332    0% 
  97 Iteration4   -1502  153 -113    80   46% -1467    0% 
  98 Iteration2   -1601  232 -212   120   55% -1659    0% 
  99 Iteration3   -1630  283 -241    40   50% -1601    0% 
 100 Iteration1   -1844  477 -455    80   58% -1944    0% 
 101 Iteration0   -2286  914 -897    40    5% -1844    0% 
