Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration99   1399  -12  118    40   58%  1365    0% 
   2 Iteration92   1365   21   35   360   56%  1293    0% 
   3 Iteration98   1336   48  105    40   50%  1365    0% 
   4 Iteration95   1336   48  105    40   50%  1365    0% 
   5 Iteration94   1336   48  105    40   50%  1365    0% 
   6 Iteration97   1294   81  103    40   45%  1365    0% 
   7 Iteration89   1274   93  100    40   58%  1239    0% 
   8 Iteration96   1252   97  105    40   40%  1365    0% 
   9 Iteration81   1239   30   30   480   55%  1174    0% 
  10 Iteration93   1231   99  107    40   38%  1365    0% 
  11 Iteration83   1210  101  101    40   50%  1239    0% 
  12 Iteration91   1210  101  101    40   50%  1239    0% 
  13 Iteration87   1210  101  101    40   50%  1239    0% 
  14 Iteration100  1209  100  109    40   35%  1365    0% 
  15 Iteration90   1168  100  103    40   45%  1239    0% 
  16 Iteration84   1168  100  103    40   45%  1239    0% 
  17 Iteration79   1160   60   59   120   52%  1136    0% 
  18 Iteration82   1126  100  105    40   40%  1239    0% 
  19 Iteration85   1126  100  105    40   40%  1239    0% 
  20 Iteration80   1111  100  101    40   48%  1160    0% 
  21 Iteration86   1105  100  107    40   38%  1239    0% 
  22 Iteration76   1059   53   52   160   58%   981    0% 
  23 Iteration77    968  100  103    40   43%  1059    0% 
  24 Iteration88    967  106  127    40   23%  1239    0% 
  25 Iteration75    914   75   75    80   48%   938    0% 
  26 Iteration78    883  101  111    40   33%  1059    0% 
  27 Iteration74    816   73   74    80   49%   826    0% 
  28 Iteration70    750  103  100    40   55%   737    0% 
  29 Iteration62    737   28   28   520   53%   685    0% 
  30 Iteration72    729  102  101    40   53%   737    0% 
  31 Iteration64    729  102  101    40   53%   737    0% 
  32 Iteration63    708  101  101    40   50%   737    0% 
  33 Iteration69    708  101  101    40   50%   737    0% 
  34 Iteration68    687  101  102    40   48%   737    0% 
  35 Iteration71    666  100  103    40   45%   737    0% 
  36 Iteration61    659   73   73    80   49%   670    0% 
  37 Iteration65    645  100  104    40   43%   737    0% 
  38 Iteration73    645  100  104    40   43%   737    0% 
  39 Iteration60    616  102  100    40   55%   602    0% 
  40 Iteration57    602   46   45   200   51%   576    0% 
  41 Iteration66    581  101  109    40   35%   737    0% 
  42 Iteration67    581  101  109    40   35%   737    0% 
  43 Iteration59    574  101  101    40   50%   602    0% 
  44 Iteration50    523   37   36   320   59%   421    0% 
  45 Iteration58    511  100  104    40   43%   602    0% 
  46 Iteration56    473  100  102    40   48%   523    0% 
  47 Iteration52    431  100  104    40   43%   523    0% 
  48 Iteration54    431  100  104    40   43%   523    0% 
  49 Iteration51    410  100  105    40   40%   523    0% 
  50 Iteration53    345  101  111    40   33%   523    0% 
  51 Iteration55    345  101  111    40   33%   523    0% 
  52 Iteration47    339  102  100    40   55%   326    0% 
  53 Iteration46    326   48   47   200   54%   276    0% 
  54 Iteration49    214  100  105    40   40%   326    0% 
  55 Iteration45    158   80   80    80   53%   134    0% 
  56 Iteration48    149  101  111    40   33%   326    0% 
  57 Iteration43    -59   61   62   120   46%   -29    0% 
  58 Iteration41   -103  104  100    40   58%  -137    0% 
  59 Iteration44   -108  100  101    40   48%   -59    0% 
  60 Iteration39   -137   46   46   200   52%  -168    0% 
  61 Iteration42   -208  100  102    40   45%  -137    0% 
  62 Iteration40   -208  100  102    40   45%  -137    0% 
  63 Iteration38   -249  102  100    40   55%  -262    0% 
  64 Iteration35   -262   47   47   200   55%  -320    0% 
  65 Iteration36   -332  100  102    40   45%  -262    0% 
  66 Iteration37   -396  100  107    40   38%  -262    0% 
  67 Iteration30   -484   43   43   240   54%  -533    0% 
  68 Iteration33   -492  102  100    40   53%  -484    0% 
  69 Iteration32   -534  100  102    40   48%  -484    0% 
  70 Iteration34   -597  100  105    40   40%  -484    0% 
  71 Iteration29   -607   74   75    80   48%  -584    0% 
  72 Iteration26   -684   52   51   160   54%  -736    0% 
  73 Iteration28   -692  101  100    40   53%  -684    0% 
  74 Iteration31   -707  103  117    40   28%  -484    0% 
  75 Iteration25   -807   74   75    80   48%  -784    0% 
  76 Iteration27   -839  100  108    40   35%  -684    0% 
  77 Iteration24   -850  103  100    40   58%  -884    0% 
  78 Iteration23   -850  103  100    40   58%  -884    0% 
  79 Iteration22   -884   51   51   160   47%  -873    0% 
  80 Iteration21   -984   74   74    80   50%  -984    0% 
  81 Iteration20  -1083   75   74    80   51% -1095    0% 
  82 Iteration19  -1192  102  100    40   55% -1205    0% 
  83 Iteration16  -1205   48   48   200   55% -1271    0% 
  84 Iteration18  -1213  102  100    40   53% -1205    0% 
  85 Iteration17  -1318  102   64    40   40% -1205    0% 
  86 Iteration14  -1548  185 -158   120   49% -1534    0% 
  87 Iteration12  -1570  235 -182    40   58% -1604    0% 
  88 Iteration11  -1604  229 -215   160   49% -1609    0% 
  89 Iteration13  -1612  268 -223    40   53% -1604    0% 
  90 Iteration8   -1706  328 -316   160   53% -1741    0% 
  91 Iteration10  -1713  362 -324    40   53% -1706    0% 
  92 Iteration3   -1763  381 -373   240   53% -1808    0% 
  93 Iteration5   -1771  417 -381    40   53% -1763    0% 
  94 Iteration7   -1791  436 -402    40   50% -1763    0% 
  95 Iteration6   -1791  436 -402    40   50% -1763    0% 
  96 Iteration15  -1792  429 -402    40   25% -1548    0% 
  97 Iteration4   -1833  474 -444    40   45% -1763    0% 
  98 Iteration9   -1882  518 -493    40   33% -1706    0% 
  99 Iteration1   -1958  582 -569   120   57% -2031    0% 
 100 Iteration2   -2049  686 -660    40   43% -1958    0% 
 101 Iteration0   -2281  910 -892    40   13% -1958    0% 
