Rank Name           Elo    +    - games score oppo. draws 
  46 Iteration56     41   81   81    40   51%    64   58% 
  47 Iteration52    -65   64   65    80   43%    -4   29% 
  48 Iteration48    -72   40   40   200   53%  -107   29% 
  49 Iteration44    -80  102   99    40   56%  -102    3% 
  50 Iteration57    -83   93   99    40   34%    64   18% 
  51 Iteration49   -101   94   94    40   50%   -72   15% 
  52 Iteration43   -102   40   39   240   54%  -156   14% 
  53 Iteration50   -134   88   90    40   45%   -72   30% 
  54 Iteration51   -135   90   92    40   45%   -72   25% 
  55 Iteration45   -156   89   90    40   46%  -102   28% 
  56 Iteration47   -159   95   96    40   46%  -102   13% 
  57 Iteration46   -188   95   99    40   43%  -102   10% 
  58 Iteration55   -222  100  119    40   16%    64   18% 
  59 Iteration40   -272   98   96    40   55%  -281   10% 
  60 Iteration34   -281   31   31   400   53%  -325   13% 
  61 Iteration39   -283   94   93    40   54%  -281   18% 
  62 Iteration37   -294   89   89    40   53%  -281   30% 
  63 Iteration35   -338   95   96    40   46%  -281   13% 
  64 Iteration36   -359   97   99    40   44%  -281    8% 
  65 Iteration41   -376   88   91    40   40%  -281   30% 
  66 Iteration38   -387   96  100    40   40%  -281   10% 
  67 Iteration31   -406   52   50   160   61%  -500    9% 
  68 Iteration42   -433   95  102    40   34%  -281   13% 
  69 Iteration32   -519   94   99    40   39%  -406   13% 
  70 Iteration29   -564   89   87    40   56%  -575   33% 
  71 Iteration28   -575   47   47   160   49%  -582   22% 
  72 Iteration26   -586  100   96    40   59%  -625    8% 
  73 Iteration33   -624   99  112    40   26%  -406    8% 
  74 Iteration24   -625   44   44   200   52%  -657   11% 
  75 Iteration27   -634   99   98    40   53%  -625    5% 
  76 Iteration25   -701   94   97    40   44%  -625   13% 
  77 Iteration30   -733   94  101    40   33%  -575   15% 
  78 Iteration22   -792   60   59   120   55%  -841    9% 
  79 Iteration21   -860   66   66    80   50%  -851   23% 
  80 Iteration17   -910   42   41   200   56%  -977   24% 
  81 Iteration19   -924   86   85    40   53%  -910   40% 
  82 Iteration20   -979   98  100    40   45%  -910    5% 
  83 Iteration16   -989   68   68    80   51% -1000   18% 
  84 Iteration23  -1037   99  115    40   23%  -792   10% 
  85 Iteration14  -1091   56   57   120   48% -1089   10% 
  86 Iteration15  -1129   99  100    40   49% -1091    3% 
  87 Iteration18  -1133   95  108    40   24%  -910   18% 
  88 Iteration8   -1146  101   99    40   54% -1148    3% 
  89 Iteration7   -1148   35   35   320   54% -1200    5% 
  90 Iteration13  -1167  100  100    40   51% -1148    3% 
  91 Iteration11  -1167   98   97    40   51% -1148    8% 
  92 Iteration3   -1228   43   43   200   53% -1267   13% 
  93 Iteration10  -1240  100  101    40   43% -1148    0% 
  94 Iteration12  -1243   95   96    40   41% -1148   13% 
  95 Iteration6   -1257   92   90    40   50% -1228   20% 
  96 Iteration4   -1257   89   87    40   50% -1228   30% 
  97 Iteration1   -1289   56   55   120   56% -1336   15% 
  98 Iteration9   -1319  101   63    40   33% -1148    5% 
  99 Iteration5   -1385  110    2    40   34% -1228    8% 
 100 Iteration0   -1390  105   -3    40   31% -1289   23% 
 101 Iteration2   -1391  107   -4    40   40% -1289   15% 
