Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration100  1588 -199  239    40   68%  1482   10% 
   2 Iteration94   1482  -92  105   280   57%  1417   34% 
   3 Iteration95   1445  -57  121    40   49%  1482   53% 
   4 Iteration97   1430  -42  116    40   46%  1482   43% 
   5 Iteration96   1426  -37  108    40   45%  1482   60% 
   6 Iteration98   1411  -23  113    40   44%  1482   28% 
   7 Iteration99   1327   56   98    40   31%  1482   28% 
   8 Iteration93   1292   66   68    80   45%  1342   28% 
   9 Iteration90   1203   43   43   160   49%  1195   42% 
  10 Iteration91   1180   77   77    40   51%  1203   73% 
  11 Iteration92   1156   96   97    40   48%  1203   10% 
  12 Iteration88   1152   52   52   120   53%  1117   31% 
  13 Iteration87   1088   71   70    80   53%  1063   10% 
  14 Iteration89   1058   88   91    40   40%  1152   30% 
  15 Iteration84    973   46   46   160   52%   951   23% 
  16 Iteration86    944   89   89    40   50%   973   30% 
  17 Iteration83    923   90   88    40   55%   919   30% 
  18 Iteration79    919   36   36   240   54%   878   35% 
  19 Iteration75    887   40   40   200   56%   833   33% 
  20 Iteration74    875   90   88    40   55%   872   30% 
  21 Iteration73    872   48   48   120   48%   874   51% 
  22 Iteration72    860   59   58    80   58%   817   55% 
  23 Iteration85    853   89   93    40   36%   973   28% 
  24 Iteration77    842   88   89    40   48%   887   30% 
  25 Iteration78    840   92   93    40   48%   887   20% 
  26 Iteration80    838   79   80    40   40%   919   65% 
  27 Iteration81    831   84   86    40   40%   919   45% 
  28 Iteration82    817   93   97    40   40%   919   15% 
  29 Iteration70    787   94   91    40   58%   763   20% 
  30 Iteration69    763   43   43   160   50%   747   41% 
  31 Iteration76    691   92  102    40   26%   887   23% 
  32 Iteration71    679   81   83    40   40%   763   55% 
  33 Iteration68    664   63   63    80   49%   674   38% 
  34 Iteration66    585   54   53   120   53%   540   27% 
  35 Iteration67    540   88   89    40   48%   585   30% 
  36 Iteration65    415   66   68    80   41%   495   24% 
  37 Iteration62    406   44   44   160   53%   368   33% 
  38 Iteration64    384   85   85    40   51%   406   43% 
  39 Iteration63    368   93   93    40   49%   406   18% 
  40 Iteration61    311   91   90    40   55%   306   25% 
  41 Iteration59    306   46   46   160   52%   271   27% 
  42 Iteration60    261   87   88    40   48%   306   35% 
  43 Iteration58    107   68   70    80   41%   185   23% 
  44 Iteration54     73   98   96    40   55%    64   10% 
  45 Iteration53     64   39   38   240   59%   -25   24% 
