Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration96   1065  103  100    40   55%  1052    0% 
   2 Iteration85   1052   26   26   640   59%   944    0% 
   3 Iteration92   1044  102  101    40   53%  1052    0% 
   4 Iteration87   1044  102  101    40   53%  1052    0% 
   5 Iteration90   1023  101  101    40   50%  1052    0% 
   6 Iteration89   1002  101  102    40   48%  1052    0% 
   7 Iteration88   1002  101  102    40   48%  1052    0% 
   8 Iteration84    995   73   73    80   50%   995    0% 
   9 Iteration91    981  100  103    40   45%  1052    0% 
  10 Iteration93    960  100  104    40   43%  1052    0% 
  11 Iteration81    952  103  100    40   55%   938    0% 
  12 Iteration78    952  103  100    40   55%   938    0% 
  13 Iteration97    938  100  105    40   40%  1052    0% 
  14 Iteration95    938  100  105    40   40%  1052    0% 
  15 Iteration77    938   37   37   320   57%   857    0% 
  16 Iteration98    917  100  107    40   38%  1052    0% 
  17 Iteration99    917  100  107    40   38%  1052    0% 
  18 Iteration79    910  101  101    40   50%   938    0% 
  19 Iteration82    889  101  102    40   48%   938    0% 
  20 Iteration100   804  105  122    40   25%  1052    0% 
  21 Iteration83    804  100  107    40   38%   938    0% 
  22 Iteration94    780  106  127    40   23%  1052    0% 
  23 Iteration73    715   47   47   200   52%   685    0% 
  24 Iteration86    696  116  152    40   15%  1052    0% 
  25 Iteration75    666  100  102    40   48%   715    0% 
  26 Iteration76    645  100  102    40   45%   715    0% 
  27 Iteration80    641  109  133    40   20%   938    0% 
  28 Iteration72    637   75   74    80   53%   615    0% 
  29 Iteration70    549  104  100    40   58%   515    0% 
  30 Iteration74    538  101  111    40   33%   715    0% 
  31 Iteration67    515   42   42   240   48%   514    0% 
  32 Iteration71    486  101  101    40   50%   515    0% 
  33 Iteration69    486  101  101    40   50%   515    0% 
  34 Iteration68    465  100  102    40   48%   515    0% 
  35 Iteration64    458   51   51   160   52%   427    0% 
  36 Iteration66    429  101  101    40   50%   458    0% 
  37 Iteration65    408  100  101    40   48%   458    0% 
  38 Iteration61    357   51   51   160   50%   343    0% 
  39 Iteration63    328  101  101    40   50%   357    0% 
  40 Iteration51    300   31   30   440   54%   243    0% 
  41 Iteration55    292  102  101    40   53%   300    0% 
  42 Iteration62    287  100  102    40   45%   357    0% 
  43 Iteration54    271  101  101    40   50%   300    0% 
  44 Iteration56    250  101  102    40   48%   300    0% 
  45 Iteration53    250  101  102    40   48%   300    0% 
  46 Iteration58    229  100  103    40   45%   300    0% 
  47 Iteration57    229  100  103    40   45%   300    0% 
  48 Iteration48    220   52   52   160   53%   183    0% 
  49 Iteration59    208  100  104    40   43%   300    0% 
  50 Iteration50    192  101  101    40   50%   220    0% 
  51 Iteration49    192  101  101    40   50%   220    0% 
  52 Iteration52    186  100  105    40   40%   300    0% 
  53 Iteration60    186  100  105    40   40%   300    0% 
  54 Iteration47     63  102  100    40   55%    50    0% 
  55 Iteration45     50   52   52   160   49%    41    0% 
  56 Iteration46    -20  100  102    40   45%    50    0% 
  57 Iteration44    -64  104  100    40   58%   -98    0% 
  58 Iteration41    -85  103  100    40   55%   -98    0% 
  59 Iteration38    -98   36   36   320   50%  -118    0% 
  60 Iteration42   -147  100  102    40   48%   -98    0% 
  61 Iteration37   -154   73   73    80   51%  -164    0% 
  62 Iteration43   -168  100  103    40   45%   -98    0% 
  63 Iteration39   -168  100  103    40   45%   -98    0% 
  64 Iteration40   -211  100  105    40   40%   -98    0% 
  65 Iteration36   -231   73   73    80   50%  -232    0% 
  66 Iteration35   -275  104  100    40   58%  -309    0% 
  67 Iteration30   -309   39   39   280   54%  -364    0% 
  68 Iteration33   -317  102  100    40   53%  -309    0% 
  69 Iteration31   -401  100  104    40   43%  -309    0% 
  70 Iteration32   -422  100  105    40   40%  -309    0% 
  71 Iteration34   -443  100  107    40   38%  -309    0% 
  72 Iteration25   -457   42   42   240   54%  -507    0% 
  73 Iteration26   -486  101  101    40   50%  -457    0% 
  74 Iteration27   -528  100  103    40   45%  -457    0% 
  75 Iteration23   -536   62   61   120   59%  -625    0% 
  76 Iteration29   -591  100  107    40   38%  -457    0% 
  77 Iteration28   -591  100  107    40   38%  -457    0% 
  78 Iteration21   -636   61   60   120   54%  -681    0% 
  79 Iteration22   -727   99  103    40   43%  -636    0% 
  80 Iteration24   -780  104  121    40   25%  -536    0% 
  81 Iteration20   -781   80   79    80   54%  -818    0% 
  82 Iteration14   -966  104  100    40   58% -1000    0% 
  83 Iteration11   -966  104  100    40   58% -1000    0% 
  84 Iteration18   -966  104  100    40   58% -1000    0% 
  85 Iteration9   -1000   30   30   480   51% -1038    0% 
  86 Iteration16  -1029  101  101    40   50% -1000    0% 
  87 Iteration10  -1029  101  101    40   50% -1000    0% 
  88 Iteration13  -1029  101  101    40   50% -1000    0% 
  89 Iteration17  -1050  101  102    40   48% -1000    0% 
  90 Iteration12  -1071  100  103    40   45% -1000    0% 
  91 Iteration19  -1114  100  105    40   40% -1000    0% 
  92 Iteration15  -1135  100  107    40   38% -1000    0% 
  93 Iteration6   -1302  104   75    40   55% -1315    0% 
  94 Iteration0   -1315   35   35   360   50% -1337    0% 
  95 Iteration1   -1323  104   59    40   53% -1315    0% 
  96 Iteration7   -1344  106   41    40   50% -1315    0% 
  97 Iteration4   -1344  106   41    40   50% -1315    0% 
  98 Iteration5   -1365  109   21    40   48% -1315    0% 
  99 Iteration3   -1386  114    1    40   45% -1315    0% 
 100 Iteration2   -1471  154  -83    40   35% -1315    0% 
 101 Iteration8   -1493  169 -105    40   33% -1315    0% 
