Rank Name           Elo    +    - games score oppo. draws 
   1 Iteration88    795  104  100    40   58%   760    0% 
   2 Iteration98    774  103  100    40   55%   760    0% 
   3 Iteration93    774  103  100    40   55%   760    0% 
   4 Iteration85    760   26   25   640   54%   704    0% 
   5 Iteration90    753  102  101    40   53%   760    0% 
   6 Iteration97    753  102  101    40   53%   760    0% 
   7 Iteration99    732  101  101    40   50%   760    0% 
   8 Iteration95    732  101  101    40   50%   760    0% 
   9 Iteration87    732  101  101    40   50%   760    0% 
  10 Iteration96    711  101  102    40   48%   760    0% 
  11 Iteration91    711  101  102    40   48%   760    0% 
  12 Iteration80    680   42   42   240   54%   626    0% 
  13 Iteration83    673  102  100    40   53%   680    0% 
  14 Iteration94    647  100  105    40   40%   760    0% 
  15 Iteration92    647  100  105    40   40%   760    0% 
  16 Iteration100   647  100  105    40   40%   760    0% 
  17 Iteration86    626  100  107    40   38%   760    0% 
  18 Iteration78    623   62   60   120   58%   547    0% 
  19 Iteration82    610  100  103    40   45%   680    0% 
  20 Iteration84    568  100  105    40   40%   680    0% 
  21 Iteration89    560  102  114    40   30%   760    0% 
  22 Iteration79    533   99  103    40   43%   623    0% 
  23 Iteration81    525  100  109    40   35%   680    0% 
  24 Iteration77    441  103  100    40   55%   427    0% 
  25 Iteration74    441  103  100    40   55%   427    0% 
  26 Iteration67    427   30   30   480   53%   378    0% 
  27 Iteration70    420  102  101    40   53%   427    0% 
  28 Iteration72    420  102  101    40   53%   427    0% 
  29 Iteration62    370   42   42   240   53%   322    0% 
  30 Iteration65    362  102  100    40   53%   370    0% 
  31 Iteration64    362  102  100    40   53%   370    0% 
  32 Iteration75    357  100  103    40   45%   427    0% 
  33 Iteration51    325  103  100    40   55%   312    0% 
  34 Iteration68    314  100  105    40   40%   427    0% 
  35 Iteration46    312   26   26   680   63%   170    0% 
  36 Iteration55    304  102  101    40   53%   312    0% 
  37 Iteration63    299  100  103    40   45%   370    0% 
  38 Iteration71    293  100  107    40   38%   427    0% 
  39 Iteration73    293  100  107    40   38%   427    0% 
  40 Iteration69    293  100  107    40   38%   427    0% 
  41 Iteration76    271  100  109    40   35%   427    0% 
  42 Iteration60    241  100  103    40   45%   312    0% 
  43 Iteration54    241  100  103    40   45%   312    0% 
  44 Iteration52    220  100  104    40   43%   312    0% 
  45 Iteration56    220  100  104    40   43%   312    0% 
  46 Iteration49    199  100  105    40   40%   312    0% 
  47 Iteration66    170  102  114    40   30%   370    0% 
  48 Iteration58    156  101  109    40   35%   312    0% 
  49 Iteration47    134  101  112    40   33%   312    0% 
  50 Iteration43    128  102  100    40   55%   115    0% 
  51 Iteration42    115   48   47   200   52%    86    0% 
  52 Iteration53     88  103  118    40   28%   312    0% 
  53 Iteration57     88  103  118    40   28%   312    0% 
  54 Iteration59     88  103  118    40   28%   312    0% 
  55 Iteration45     86  101  101    40   50%   115    0% 
  56 Iteration50     65  105  122    40   25%   312    0% 
  57 Iteration37     57   43   42   240   59%   -40    0% 
  58 Iteration61     40  106  127    40   23%   312    0% 
  59 Iteration36      1   73   73    80   51%   -10    0% 
  60 Iteration48    -13  112  142    40   18%   312    0% 
  61 Iteration41    -34  100  104    40   43%    57    0% 
  62 Iteration40    -34  100  104    40   43%    57    0% 
  63 Iteration32    -77   47   46   200   60%  -180    0% 
  64 Iteration39    -98  100  109    40   35%    57    0% 
  65 Iteration44   -156  106  127    40   23%   115    0% 
  66 Iteration33   -168  100  104    40   43%   -77    0% 
  67 Iteration38   -189  104  122    40   25%    57    0% 
  68 Iteration35   -211  100  107    40   38%   -77    0% 
  69 Iteration29   -248   52   52   160   49%  -250    0% 
  70 Iteration30   -256  101  100    40   53%  -248    0% 
  71 Iteration34   -276  102  114    40   30%   -77    0% 
  72 Iteration20   -293  104  100    40   58%  -327    0% 
  73 Iteration27   -314  103  100    40   55%  -327    0% 
  74 Iteration19   -327   31   31   440   52%  -371    0% 
  75 Iteration21   -335  102  101    40   53%  -327    0% 
  76 Iteration31   -339  100  103    40   43%  -248    0% 
  77 Iteration25   -356  101  101    40   50%  -327    0% 
  78 Iteration22   -356  101  101    40   50%  -327    0% 
  79 Iteration23   -377  101  102    40   48%  -327    0% 
  80 Iteration24   -377  101  102    40   48%  -327    0% 
  81 Iteration28   -462  100  107    40   38%  -327    0% 
  82 Iteration18   -473   75   76    80   48%  -450    0% 
  83 Iteration26   -484  100  109    40   35%  -327    0% 
  84 Iteration15   -560  102  100    40   55%  -574    0% 
  85 Iteration14   -574   45   46   200   48%  -570    0% 
  86 Iteration17   -581  102  100    40   53%  -574    0% 
  87 Iteration16   -581  102  100    40   53%  -574    0% 
  88 Iteration13   -652   76   75    80   55%  -697    0% 
  89 Iteration10   -820   52   52   160   51%  -840    0% 
  90 Iteration11   -828  101  100    40   53%  -820    0% 
  91 Iteration12   -890  100  102    40   45%  -820    0% 
  92 Iteration9    -989   74   76    80   44%  -933    0% 
  93 Iteration5   -1045   46   46   200   56% -1114    0% 
  94 Iteration8   -1074  101  101    40   50% -1045    0% 
  95 Iteration7   -1094  100  102    40   48% -1045    0% 
  96 Iteration6   -1200  100  108    40   35% -1045    0% 
  97 Iteration3   -1215   64   62   120   57% -1280    0% 
  98 Iteration2   -1360   78   26    80   46% -1326    0% 
  99 Iteration4   -1436  136  -48    40   28% -1215    0% 
 100 Iteration0   -1437  106  -48    80   53% -1486    0% 
 101 Iteration1   -1612  262 -223    40   33% -1437    0% 
